label,mode,window_mode,joint,target,rise_time,settling_time,overshoot,sse,window_start,window_end
Trajectory 1 | BA-PID,stagger,fixed,joint1,1,7.455,7.63,0.017269523,3.697497536,0,12
Trajectory 1 | BA-PID,stagger,fixed,joint2,0.8,8.45,8.625,0.011751296,3.041562064,5,18
Trajectory 1 | BA-PID,stagger,fixed,joint3,-0.6,8.45,13,0.015615673,1.966946026,11,24
